yORF	gene name	GFP tagged?	GFP visualized?	abundance	localization summary	ambiguous	mitochondrion	vacuole	spindle pole	cell periphery	punctate composite	vacuolar membrane	ER	nuclear periphery	endosome	bud neck	microtubule	Golgi	late Golgi	peroxisome	actin	nucleolus	cytoplasm	ER to Golgi	early Golgi	lipid particle	nucleus	bud	
YKL046C	DCW1	tagged	visualized	2580	ER,ambiguous,bud	T	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T		
YKL065C	YET1	tagged	visualized	7210	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YKL094W	YJU3	tagged	visualized	2140	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YKL096W	CWP1	tagged	visualized	2060	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YKL096W-A	CWP2	tagged	visualized	1590000	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YKL119C	VPH2	tagged	visualized	2030	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YKL122C	SRP21	tagged	visualized	3400	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YKL146W	AVT3	tagged	visualized	not visualized	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YKL154W	SRP102	tagged	visualized	8250	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YKL212W	SAC1	tagged	visualized	48000	ER,vacuole	F	F	T	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YKR022C		tagged	visualized	892	ER,cytoplasm,nucleus	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
YKR067W	GPT2	tagged	visualized	3100	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLL014W		tagged	visualized	low signal	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLL023C		tagged	visualized	1680	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLL028W	TPO1	tagged	visualized	1470	ER,cell periphery,bud	F	F	F	F	T	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T		
YLL031C	GPI13	tagged	visualized	300	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLL052C	AQY2	tagged	visualized	low signal	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLL055W		tagged	visualized	not visualized	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLL061W	MMP1	tagged	visualized	low signal	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
YLR023C		tagged	visualized	not visualized	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
