orfid	yORF	gene name	GFP tagged?	GFP visualized?	TAP visualized?	abundance	error	localization summary	ambiguous	mitochondrion	vacuole	spindle pole	cell periphery	punctate composite	vacuolar membrane	ER	nuclear periphery	endosome	bud neck	microtubule	Golgi	late Golgi	peroxisome	actin	nucleolus	cytoplasm	ER to Golgi	early Golgi	lipid particle	nucleus	bud	
3186	YDR098C	GRX3	tagged	visualized	TAP visualized	11000	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3285	YDR099W	BMH2	tagged	visualized	TAP visualized	47600	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
4350	YDR100W	TVP15	tagged	visualized	TAP visualized	4540	NA	early Golgi	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F		
1243	YDR101C	ARX1	tagged	visualized	TAP visualized	45100	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
461	YDR103W	STE5	tagged	visualized	TAP visualized	1900	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
1845	YDR105C	TMS1	tagged	visualized	TAP visualized	low signal	NA	vacuolar membrane	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
902	YDR108W	GSG1	tagged	visualized	TAP visualized	8760	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
1375	YDR110W	FOB1	tagged	visualized	TAP visualized	1510	NA	nucleolus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F		
1649	YDR111C		tagged	visualized	TAP visualized	3480	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
4930	YDR115W		tagged	visualized	TAP visualized	195	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
3187	YDR116C	MRPL1	tagged	visualized	TAP visualized	7010	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1042	YDR118W	APC4	tagged	visualized	TAP visualized	1330	85.3	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
5414	YDR119W		tagged	visualized	not TAP visualized	not visualized	NA	vacuolar membrane	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1360	YDR120C	TRM1	tagged	visualized	TAP visualized	15500	NA	nuclear periphery,nucleus	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
3911	YDR121W	DPB4	tagged	visualized	TAP visualized	2100	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
5305	YDR122W	KIN1	tagged	visualized	TAP visualized	279	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
3028	YDR123C	INO2	tagged	visualized	TAP visualized	784	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
1974	YDR125C	ECM18	tagged	visualized	TAP visualized	143	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
70	YDR127W	ARO1	tagged	visualized	TAP visualized	6420	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
232	YDR128W		tagged	visualized	TAP visualized	556	NA	vacuolar membrane	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
959	YDR129C	SAC6	tagged	visualized	TAP visualized	3510	NA	actin	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F		
3139	YDR130C	FIN1	tagged	visualized	not TAP visualized	not visualized	NA	cytoplasm,nucleus,spindle pole	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
1419	YDR131C		tagged	visualized	not TAP visualized	not visualized	NA	vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1719	YDR132C		tagged	visualized	TAP visualized	172	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
5248	YDR135C	YCF1	tagged	visualized	TAP visualized	396	NA	vacuolar membrane	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1005	YDR137W	RGP1	tagged	visualized	TAP visualized	589	NA	early Golgi	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F		
769	YDR138W	HPR1	tagged	visualized	TAP visualized	1340	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
5013	YDR139C	RUB1	tagged	visualized	TAP visualized	1310	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
3682	YDR140W	FYV9	tagged	visualized	TAP visualized	3390	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
53	YDR141C	DOP1	tagged	visualized	TAP visualized	2700	NA	punctate composite,early Golgi	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F		
1234	YDR144C	MKC7	tagged	visualized	TAP visualized	538	NA	vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1498	YDR145W	TAF12	tagged	visualized	TAP visualized	930	45.0	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
863	YDR146C	SWI5	tagged	visualized	TAP visualized	688	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
1510	YDR147W	EKI1	tagged	visualized	TAP visualized	3420	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
1907	YDR148C	KGD2	tagged	visualized	TAP visualized	7970	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
7	YDR150W	NUM1	tagged	visualized	TAP visualized	low signal	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
3346	YDR152W	GIR2	tagged	visualized	TAP visualized	10300	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
2243	YDR153C	ENT5	tagged	visualized	TAP visualized	8100	NA	late Golgi	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F		
4171	YDR155C	CPR1	tagged	visualized	TAP visualized	86000	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
4409	YDR156W	RPA14	tagged	visualized	TAP visualized	3100	NA	nucleolus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F		
2551	YDR158W	HOM2	tagged	visualized	TAP visualized	18400	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
153	YDR159W	SAC3	tagged	visualized	TAP visualized	339	NA	nuclear periphery	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2390	YDR161W	TCI1	tagged	visualized	TAP visualized	1630	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
831	YDR164C	SEC1	tagged	visualized	TAP visualized	639	NA	ambiguous,bud neck,cytoplasm,bud	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	F	T		
2036	YDR165W	TRM82	tagged	visualized	TAP visualized	5910	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
5326	YDR166C	SEC5	tagged	visualized	TAP visualized	3400	228.0	ambiguous,bud neck,cell periphery,bud	T	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	T		
3800	YDR167W	TAF10	tagged	visualized	TAP visualized	3370	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
1658	YDR168W	CDC37	tagged	visualized	TAP visualized	10200	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
1618	YDR169C	STB3	tagged	visualized	TAP visualized	639	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5224	YDR170C	SEC7	tagged	visualized	TAP visualized	3670	NA	late Golgi	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F		
2061	YDR170W-A		tagged	visualized	TAP visualized	2910	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2477	YDR171W	HSP42	tagged	visualized	TAP visualized	1470	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
943	YDR172W	SUP35	tagged	visualized	TAP visualized	78900	9520.0	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
2624	YDR173C	ARG82	tagged	visualized	TAP visualized	2720	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3489	YDR174W	HMO1	tagged	visualized	TAP visualized	19000	NA	nucleolus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F		
2904	YDR175C	RSM24	tagged	visualized	TAP visualized	3150	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
890	YDR176W	NGG1	tagged	visualized	TAP visualized	2470	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
3734	YDR177W	UBC1	tagged	visualized	TAP visualized	8940	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
6148	YDR178W	SDH4	tagged	visualized	TAP visualized	7920	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
4172	YDR179C	CSN9	tagged	visualized	TAP visualized	358	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
89	YDR180W	SCC2	tagged	visualized	TAP visualized	3310	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
1810	YDR181C	SAS4	tagged	visualized	TAP visualized	768	NA	ambiguous,cytoplasm,nucleus	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
1741	YDR182W	CDC1	tagged	visualized	TAP visualized	583	77.4	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
3624	YDR183W	PLP1	tagged	visualized	TAP visualized	2250	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
3108	YDR184C	ATC1	tagged	visualized	TAP visualized	846	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
4035	YDR185C		tagged	visualized	TAP visualized	672	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
530	YDR186C		tagged	visualized	TAP visualized	195	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5484	YDR189W	SLY1	tagged	visualized	TAP visualized	5780	1600.0	Golgi,early Golgi	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F		
1908	YDR190C	RVB1	tagged	visualized	TAP visualized	11600	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
2507	YDR191W	HST4	tagged	visualized	TAP visualized	377	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
4455	YDR193W		tagged	visualized	not TAP visualized	not visualized	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
1002	YDR194C	MSS116	tagged	visualized	TAP visualized	10300	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1517	YDR195W	REF2	tagged	visualized	TAP visualized	7450	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
3530	YDR196C		tagged	visualized	TAP visualized	1660	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2382	YDR197W	CBS2	tagged	visualized	TAP visualized	2140	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1211	YDR200C	VPS64	tagged	visualized	TAP visualized	377	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
4147	YDR201W	SPC19	tagged	visualized	TAP visualized	639	NA	spindle pole	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
5883	YDR202C	RAV2	tagged	visualized	TAP visualized	2860	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2786	YDR204W	COQ4	tagged	visualized	not TAP visualized	not visualized	NA	ambiguous,mitochondrion	T	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
5438	YDR205W	MSC2	tagged	visualized	TAP visualized	1070	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
596	YDR207C	UME6	tagged	visualized	TAP visualized	217	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
707	YDR208W	MSS4	tagged	visualized	not TAP visualized	not visualized	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5134	YDR210W		tagged	visualized	TAP visualized	13100	NA	cell periphery	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
858	YDR211W	GCD6	tagged	visualized	TAP visualized	33800	6700.0	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
467	YDR213W	UPC2	tagged	visualized	TAP visualized	752	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
2657	YDR214W	AHA1	tagged	visualized	TAP visualized	13900	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
146	YDR216W	ADR1	tagged	visualized	TAP visualized	low signal	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
151	YDR217C	RAD9	tagged	visualized	TAP visualized	400	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
1891	YDR219C		tagged	visualized	TAP visualized	1360	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
891	YDR221W		tagged	visualized	TAP visualized	9760	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2218	YDR222W		tagged	visualized	TAP visualized	1010	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
4469	YDR224C	HTB1	tagged	visualized	TAP visualized	technical problem	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
4456	YDR225W	HTA1	tagged	visualized	not TAP visualized	not visualized	NA	vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
3675	YDR226W	ADK1	tagged	visualized	TAP visualized	123000	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
134	YDR227W	SIR4	tagged	visualized	TAP visualized	technical problem	NA	nuclear periphery	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1132	YDR228C	PCF11	tagged	visualized	TAP visualized	2800	753.0	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
1975	YDR229W	IVY1	tagged	visualized	TAP visualized	2840	NA	vacuolar membrane	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
3810	YDR231C	COX20	tagged	visualized	TAP visualized	low signal	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1466	YDR232W	HEM1	tagged	visualized	TAP visualized	22600	2660.0	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
3094	YDR233C	RTN1	tagged	visualized	TAP visualized	37100	NA	ER,cell periphery	F	F	F	F	T	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
913	YDR234W	LYS4	tagged	visualized	TAP visualized	7350	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1481	YDR235W	PRP42	tagged	visualized	TAP visualized	1730	80.3	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
3705	YDR236C	FMN1	tagged	visualized	TAP visualized	830	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5325	YDR238C	SEC26	tagged	visualized	TAP visualized	26000	NA	Golgi,early Golgi	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F		
695	YDR239C		tagged	visualized	TAP visualized	155	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
1732	YDR240C	SNU56	tagged	visualized	TAP visualized	361	58.1	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
1266	YDR243C	PRP28	tagged	visualized	TAP visualized	technical problem	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
5537	YDR244W	PEX5	tagged	visualized	TAP visualized	2070	NA	peroxisome	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F		
5828	YDR245W	MNN10	tagged	visualized	TAP visualized	6280	NA	Golgi	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F		
6088	YDR246W	TRS23	tagged	visualized	TAP visualized	3130	NA	late Golgi	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F		
1921	YDR247W	VHS1	tagged	visualized	TAP visualized	784	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
3935	YDR248C		tagged	visualized	TAP visualized	504	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5087	YDR250C		tagged	visualized	TAP visualized	low signal	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
607	YDR251W	PAM1	tagged	visualized	TAP visualized	300	NA	ambiguous,bud neck,bud	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	T		
4283	YDR252W	BTT1	tagged	visualized	TAP visualized	1820	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
3944	YDR253C	MET32	tagged	visualized	TAP visualized	technical problem	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
1942	YDR254W	CHL4	tagged	visualized	TAP visualized	606	NA	microtubule	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F		
1722	YDR257C	RMS1	tagged	visualized	TAP visualized	4010	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
639	YDR258C	HSP78	tagged	visualized	TAP visualized	2990	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1395	YDR261C	EXG2	tagged	visualized	TAP visualized	2410	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
3294	YDR262W		tagged	visualized	TAP visualized	4850	NA	vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
5416	YDR264C	AKR1	tagged	visualized	TAP visualized	4070	NA	Golgi,early Golgi	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F		
5899	YDR265W	PEX10	tagged	visualized	not TAP visualized	not visualized	NA	peroxisome	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F		
1087	YDR266C		tagged	visualized	TAP visualized	1910	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
2816	YDR267C		tagged	visualized	TAP visualized	5640	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
2448	YDR268W	MSW1	tagged	visualized	TAP visualized	672	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
5319	YDR270W	CCC2	tagged	visualized	not TAP visualized	not visualized	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
3269	YDR272W	GLO2	tagged	visualized	TAP visualized	13700	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3586	YDR275W	BSC2	tagged	visualized	TAP visualized	922	NA	lipid particle	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F		
6230	YDR276C	PMP3	tagged	visualized	TAP visualized	technical problem	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2658	YDR279W	RNH202	tagged	visualized	TAP visualized	2340	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
3022	YDR280W	RRP45	tagged	visualized	TAP visualized	4800	NA	nucleolus,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	T	F		
4952	YDR281C	PHM6	tagged	visualized	not TAP visualized	not visualized	NA	vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
58	YDR283C	GCN2	tagged	visualized	TAP visualized	279	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5996	YDR284C	DPP1	tagged	visualized	TAP visualized	3040	NA	vacuolar membrane	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
3037	YDR288W		tagged	visualized	TAP visualized	2540	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
299	YDR291W		tagged	visualized	TAP visualized	259	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
171	YDR293C	SSD1	tagged	visualized	TAP visualized	1100	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
1260	YDR294C	DPL1	tagged	visualized	TAP visualized	13100	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
976	YDR295C	PLO2	tagged	visualized	TAP visualized	1500	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
3646	YDR296W	MHR1	tagged	visualized	TAP visualized	2610	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
5885	YDR297W	SUR2	tagged	visualized	TAP visualized	54300	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
6105	YDR298C	ATP5	tagged	visualized	TAP visualized	32400	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1511	YDR299W	BFR2	tagged	visualized	TAP visualized	15400	NA	nucleolus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F		
2148	YDR300C	PRO1	tagged	visualized	TAP visualized	10400	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
136	YDR301W	CFT1	tagged	visualized	TAP visualized	639	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
3698	YDR302W	GPI11	tagged	visualized	TAP visualized	technical problem	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
513	YDR303C	RSC3	tagged	visualized	TAP visualized	1750	11.5	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
3652	YDR304C	CPR5	tagged	visualized	not TAP visualized	not visualized	NA	vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
3487	YDR305C	HNT2	tagged	visualized	TAP visualized	1920	NA	cytoplasm,mitochondrion,nucleus	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
1012	YDR307W		tagged	visualized	TAP visualized	technical problem	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
4384	YDR308C	SRB7	tagged	visualized	TAP visualized	1390	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
2420	YDR309C	GIC2	tagged	visualized	TAP visualized	1130	NA	ambiguous,cytoplasm,bud	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	T		
318	YDR310C	SUM1	tagged	visualized	TAP visualized	149	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
1076	YDR311W	TFB1	tagged	visualized	TAP visualized	5150	119.0	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
