yORF	gene name	GFP tagged?	GFP visualized?	abundance	localization summary	
YPR178W	PRP4	tagged	visualized	1770	cytoplasm,nucleus	
YDR389W	SAC7	tagged	visualized	1420	cytoplasm	
YOR291W		tagged	visualized	technical problem	ER	
YPR172W		tagged	visualized	358	cytoplasm,nucleus	
YHR179W	OYE2	tagged	visualized	15100	cytoplasm,nucleus	
YJL024C	APS3	tagged	visualized	1240	punctate composite,early Golgi	
YIL172C		tagged	visualized	166	cytoplasm	
YBL080C	PET112	tagged	visualized	1390	mitochondrion	
YBR085W	AAC3	tagged	visualized	1080	mitochondrion	
YMR266W	RSN1	tagged	visualized	low signal	cell periphery	
YBR283C	SSH1	tagged	visualized	704	ER	
YGR192C	TDH3	tagged	visualized	169000	cytoplasm,nucleus	
YGR120C	COG2	tagged	visualized	3270	Golgi,early Golgi	
YDR281C	PHM6	tagged	visualized	not visualized	vacuole	
YKL032C	IXR1	tagged	visualized	low signal	nucleus	
YOR322C		tagged	visualized	295	cytoplasm,late Golgi	
YLR034C	SMF3	tagged	visualized	low signal	ER	
YPR141C	KAR3	tagged	visualized	3250	nucleus,spindle pole,microtubule	
YDL040C	NAT1	tagged	visualized	7600	cytoplasm	
YGL130W	CEG1	tagged	visualized	279	cytoplasm,nucleus	
YER073W	ALD5	tagged	visualized	23300	mitochondrion	
YKL042W	SPC42	tagged	visualized	not visualized	spindle pole	
YHR156C	LIN1	tagged	visualized	799	nucleus	
YDL188C	PPH22	tagged	visualized	4110	cytoplasm,nucleus	
YLR454W		tagged	visualized	1360	ambiguous	
YOL126C	MDH2	tagged	visualized	5260	peroxisome	
YGL083W	SCY1	tagged	visualized	1480	late Golgi	
YER176W	ECM32	tagged	visualized	736	cytoplasm	
YLL060C	GTT2	tagged	visualized	low signal	cytoplasm	
YIL094C	LYS12	tagged	visualized	19100	mitochondrion	
YJR075W	HOC1	tagged	visualized	7160	Golgi	
YBR090C		tagged	visualized	not visualized	cytoplasm,nucleus	
YDR265W	PEX10	tagged	visualized	not visualized	peroxisome	
YGR117C		tagged	visualized	1280	cytoplasm	
YDL036C		tagged	visualized	639	cytoplasm,nucleus	
YBL010C		tagged	visualized	1320	late Golgi	
YMR192W	APP2	tagged	visualized	2010	ambiguous,bud neck,cytoplasm,bud	
YOL094C	RFC4	tagged	visualized	2760	nucleus	
YNR021W		tagged	visualized	34900	ER	
YLR427W	MAG2	tagged	visualized	922	cytoplasm	
YLR091W		tagged	visualized	low signal	mitochondrion	
YLR131C	ACE2	tagged	visualized	538	cytoplasm,nucleus,bud	
YDR280W	RRP45	tagged	visualized	4800	nucleolus,nucleus	
YDL116W	NUP84	tagged	visualized	8580	nuclear periphery	
YKR035W-A	DID2	tagged	visualized	2440	endosome	
YDR044W	HEM13	tagged	visualized	22000	cytoplasm,nucleus	
YDR527W		tagged	visualized	688	cytoplasm	
YLR187W		tagged	visualized	low signal	ambiguous,bud neck,cytoplasm,cell periphery,bud	
YGR255C	COQ6	tagged	visualized	2940	mitochondrion,punctate composite	
YLR058C	SHM2	tagged	visualized	67600	cytoplasm,nucleus	
YGL227W	VID30	tagged	visualized	1500	cytoplasm,nucleus	
YKR082W	NUP133	tagged	visualized	3060	nuclear periphery	
YIR011C	STS1	tagged	visualized	2120	cytoplasm,nucleus	
YML128C	MSC1	tagged	visualized	1070	ER	
YHR027C	RPN1	tagged	visualized	306000	cytoplasm,nucleus	
YPL094C	SEC62	tagged	visualized	16500	ER	
YDR469W	SDC1	tagged	visualized	937	nucleus	
YLR141W	RRN5	tagged	visualized	low signal	nucleolus	
YAR009C		tagged	visualized	2220	punctate composite	
YPL150W		tagged	visualized	low signal	ambiguous	
YBR103W	SIF2	tagged	visualized	1620	nucleus	
YML082W		tagged	visualized	2810	cytoplasm,nucleus	
YDR519W	FPR2	tagged	visualized	5400	ER	
YNR048W		tagged	visualized	4510	ambiguous	
YLL034C		tagged	visualized	4490	nucleolus,nucleus	
YLR384C	IKI3	tagged	visualized	10500	cytoplasm	
YHR049W	FSH1	tagged	visualized	14600	cytoplasm,nucleus	
YKL049C	CSE4	tagged	visualized	not visualized	nucleus,spindle pole	
YPL139C	UME1	tagged	visualized	3040	cytoplasm,nucleus	
YPL233W	NSL1	tagged	visualized	3710	spindle pole	
YBR056W		tagged	visualized	1960	cytoplasm	
YGL008C	PMA1	tagged	visualized	1260000	cell periphery,vacuole	
YKR070W		tagged	visualized	3870	mitochondrion	
YDL215C	GDH2	tagged	visualized	7400	cytoplasm	
YOR221C	MCT1	tagged	visualized	1360	mitochondrion	
YDR099W	BMH2	tagged	visualized	47600	cytoplasm,nucleus	
YPL194W	DDC1	tagged	visualized	238	cytoplasm,nucleus	
YFR046C		tagged	visualized	1300	nucleus	
YHR117W	TOM71	tagged	visualized	4110	mitochondrion	
YPL112C	PEX25	tagged	visualized	2420	peroxisome	
YLR245C	CDD1	tagged	visualized	3120	cytoplasm,nucleus	
YMR165C	SMP2	tagged	visualized	3910	cytoplasm	
YPL229W		tagged	visualized	922	cytoplasm	
YLR375W	STP3	tagged	visualized	1240	nucleus	
YPR175W	DPB2	tagged	visualized	3110	cytoplasm,nucleus	
