orfid	yORF	gene name	GFP tagged?	GFP visualized?	abundance	error	
3314	YGR220C	MRPL9	tagged	visualized	3190	NA	
952	YLR403W	SFP1	tagged	visualized	259	NA	
221	YKL038W	RGT1	tagged	visualized	195	NA	
1247	YCR088W	ABP1	tagged	visualized	606	NA	
6162	YMR071C	TVP18	tagged	visualized	technical problem	NA	
1068	YER049W		tagged	visualized	8910	NA	
3858	YML079W		tagged	visualized	low signal	NA	
5857	YLR332W	MID2	tagged	visualized	low signal	NA	
4627	YJL173C	RFA3	tagged	visualized	4280	NA	
1639	YJR015W		tagged	visualized	639	NA	
1802	YJL162C		tagged	visualized	184	NA	
3791	YPR107C	YTH1	tagged	visualized	3690	NA	
3691	YBL093C	ROX3	tagged	visualized	6120	NA	
5514	YHL008C		tagged	visualized	low signal	NA	
3936	YGL211W		tagged	visualized	low signal	NA	
2550	YDR065W		tagged	visualized	1670	NA	
367	YKL173W	SNU114	tagged	visualized	300	NA	
3055	YPL079W	RPL21B	tagged	visualized	66400	NA	
1557	YDL197C	ASF2	tagged	visualized	1910	NA	
3077	YCL031C	RRP7	tagged	visualized	2610	NA	
2891	YLR257W		tagged	visualized	18600	NA	
1884	YOR229W	WTM2	tagged	visualized	3750	NA	
430	YIL075C	RPN2	tagged	visualized	4750	NA	
4380	YOR252W		tagged	visualized	5350	NA	
2761	YOR061W	CKA2	tagged	visualized	4540	NA	
2702	YIL145C	PAN6	tagged	visualized	2400	NA	
5270	YKL209C	STE6	tagged	visualized	technical problem	NA	
1147	YFL049W		tagged	visualized	3180	NA	
1782	YDL089W		tagged	visualized	606	NA	
5393	YKL176C	LST4	tagged	visualized	low signal	NA	
3484	YLL038C	ENT4	tagged	visualized	1960	NA	
2992	YHR187W	IKI1	tagged	visualized	3870	NA	
3124	YOL001W	PHO80	tagged	visualized	technical problem	NA	
4035	YDR185C		tagged	visualized	672	NA	
5216	YBR140C	IRA1	tagged	visualized	not visualized	NA	
5377	YJL041W	NSP1	tagged	visualized	2400	NA	
758	YPL158C		tagged	visualized	238	NA	
2605	YJR147W	HMS2	tagged	visualized	2050	NA	
1408	YDL106C	PHO2	tagged	visualized	6420	NA	
2176	YJL036W	SNX4	tagged	visualized	450	NA	
4708	YDR031W		tagged	visualized	not visualized	NA	
124	YBR115C	LYS2	tagged	visualized	7430	NA	
1964	YLR195C	NMT1	tagged	visualized	not visualized	NA	
1215	YOL148C	SPT20	tagged	visualized	4150	NA	
2324	YGL213C	SKI8	tagged	visualized	1710	NA	
2403	YBR155W	CNS1	tagged	visualized	672	NA	
2735	YGR163W	GTR2	tagged	visualized	2610	NA	
4094	YNL046W		tagged	visualized	704	NA	
5073	YBL029C-A		tagged	visualized	996	NA	
3543	YOL142W	RRP40	tagged	visualized	6050	NA	
1084	YIL056W		tagged	visualized	279	NA	
6036	YPL246C	RBD2	tagged	visualized	7850	NA	
4186	YOR276W	CAF20	tagged	visualized	26900	NA	
3413	YDL136W	RPL35B	tagged	visualized	19100	NA	
3254	YLR290C		tagged	visualized	1420	NA	
6163	YMR292W	GOT1	tagged	visualized	not visualized	NA	
3857	YLR179C		tagged	visualized	6230	NA	
2794	YPR110C	RPC40	tagged	visualized	13000	2310.0	
3644	YMR271C	URA10	tagged	visualized	815	NA	
5913	YPR128C	ANT1	tagged	visualized	2250	NA	
4051	YML011C		tagged	visualized	1080	NA	
2273	YOL054W	PSH1	tagged	visualized	6490	NA	
627	YJR059W	PTK2	tagged	visualized	1420	NA	
855	YGR128C	UTP8	tagged	visualized	16800	NA	
5424	YBL011W	SCT1	tagged	visualized	1050	NA	
2679	YGL157W		tagged	visualized	2950	NA	
694	YLR319C	BUD6	tagged	visualized	2610	NA	
5996	YDR284C	DPP1	tagged	visualized	3040	NA	
1478	YPL256C	CLN2	tagged	visualized	1270	NA	
5609	YGL077C	HNM1	tagged	visualized	technical problem	NA	
3385	YLR323C	CWC24	tagged	visualized	996	NA	
5365	YJL198W	PHO90	tagged	visualized	3430	NA	
4602	YDR493W		tagged	visualized	279	NA	
5981	YBR291C	CTP1	tagged	visualized	not visualized	NA	
5873	YDR414C	ERD1	tagged	visualized	not visualized	NA	
3139	YDR130C	FIN1	tagged	visualized	not visualized	NA	
1849	YLR212C	TUB4	tagged	visualized	7200	1040.0	
1770	YBL103C	RTG3	tagged	visualized	1050	NA	
1003	YML020W		tagged	visualized	377	NA	
936	YER022W	SRB4	tagged	visualized	3650	95.5	
3070	YPR066W	UBA3	tagged	visualized	752	NA	
3707	YGL079W		tagged	visualized	1630	NA	
237	YDR507C	GIN4	tagged	visualized	736	NA	
4396	YNR022C	MRPL50	tagged	visualized	not visualized	NA	
3629	YLR168C	MSF1'	tagged	visualized	2910	NA	
1655	YML043C	RRN11	tagged	visualized	476	66.2	
56	YML059C		tagged	visualized	521	NA	
2210	YKR048C	NAP1	tagged	visualized	8070	NA	
1718	YBR126C	TPS1	tagged	visualized	10900	NA	
464	YGL049C	TIF4632	tagged	visualized	3390	NA	
2159	YAR003W	SWD1	tagged	visualized	907	NA	
2810	YHL025W	SNF6	tagged	visualized	2900	NA	
107	YDR464W	SPP41	tagged	visualized	not visualized	NA	
3107	YDL076C	RXT3	tagged	visualized	3060	NA	
3444	YGR118W	RPS23A	tagged	visualized	10600	NA	
5254	YGR281W	YOR1	tagged	visualized	3610	NA	
2962	YHR144C	DCD1	tagged	visualized	1510	NA	
5775	YDR329C	PEX3	tagged	visualized	1400	NA	
4430	YDL012C		tagged	visualized	2250	NA	
6087	YAR002C-A	ERP1	tagged	visualized	20700	NA	
187	YPL012W	RRP12	tagged	visualized	8170	NA	
1833	YGR002C	GOD1	tagged	visualized	2230	NA	
3660	YDR476C		tagged	visualized	2120	NA	
73	YOR326W	MYO2	tagged	visualized	4340	NA	
2125	YOL097C	WRS1	tagged	visualized	12100	2170.0	
985	YER088C	DOT6	tagged	visualized	2120	NA	
1588	YER006W	NUG1	tagged	visualized	7130	NA	
2877	YNL025C	SSN8	tagged	visualized	technical problem	NA	
3952	YML094W	GIM5	tagged	visualized	2900	NA	
1541	YBR274W	CHK1	tagged	visualized	2530	NA	
1234	YDR144C	MKC7	tagged	visualized	538	NA	
5302	YDL185W	TFP1	tagged	visualized	200000	NA	
3269	YDR272W	GLO2	tagged	visualized	13700	NA	
1900	YER038C	KRE29	tagged	visualized	low signal	NA	
5338	YGL167C	PMR1	tagged	visualized	6900	NA	
809	YKL168C	KKQ8	tagged	visualized	981	NA	
5945	YMR241W	YHM2	tagged	visualized	2930	NA	
1348	YGR092W	DBF2	tagged	visualized	3500	NA	
300	YOL145C	CTR9	tagged	visualized	12900	NA	
2924	YMR310C		tagged	visualized	2540	NA	
3400	YOR060C		tagged	visualized	1690	NA	
2500	YLR048W	RPS0B	tagged	visualized	60900	NA	
776	YKL187C		tagged	visualized	not visualized	NA	
1948	YDL189W	RBS1	tagged	visualized	892	NA	
5546	YDR091C	RLI1	tagged	visualized	6280	NA	
578	YIL143C	SSL2	tagged	visualized	825	246.0	
5626	YNL219C	ALG9	tagged	visualized	technical problem	NA	
742	YLR114C	EFR4	tagged	visualized	7500	NA	
3467	YDL202W	MRPL11	tagged	visualized	6070	NA	
397	YMR288W	HSH155	tagged	visualized	521	NA	
1671	YHR159W		tagged	visualized	504	NA	
3873	YPL239W	YAR1	tagged	visualized	13100	NA	
