yORF	gene name	GFP tagged?	GFP visualized?	localization summary	
YDL126C	CDC48	tagged	visualized	cytoplasm,nucleus	
YDL182W	LYS20	tagged	visualized	nucleus	
YML127W	RSC9	tagged	visualized	nucleus	
YJR049C	UTR1	tagged	visualized	cytoplasm,nucleus	
YHR027C	RPN1	tagged	visualized	cytoplasm,nucleus	
YGR253C	PUP2	tagged	visualized	cytoplasm,nucleus	
YIL019W		tagged	visualized	cytoplasm,nucleus	
YDR469W	SDC1	tagged	visualized	nucleus	
YPR046W	MCM16	tagged	visualized	nucleus	
YBR103W	SIF2	tagged	visualized	nucleus	
YML082W		tagged	visualized	cytoplasm,nucleus	
YLL034C		tagged	visualized	nucleolus,nucleus	
YHR049W	FSH1	tagged	visualized	cytoplasm,nucleus	
YDR399W	HPT1	tagged	visualized	cytoplasm,nucleus	
YPL161C	BEM4	tagged	visualized	cytoplasm,nucleus	
YKL049C	CSE4	tagged	visualized	nucleus,spindle pole	
YHR137W	ARO9	tagged	visualized	cytoplasm,nucleus	
YPL139C	UME1	tagged	visualized	cytoplasm,nucleus	
YAL009W	SPO7	tagged	visualized	nucleus	
YOR261C	RPN8	tagged	visualized	cytoplasm,nucleus	
YOR363C	PIP2	tagged	visualized	cytoplasm,nucleus	
YOR243C	PUS7	tagged	visualized	nucleus	
YEL011W	GLC3	tagged	visualized	cytoplasm,nucleus,punctate composite	
YDR099W	BMH2	tagged	visualized	cytoplasm,nucleus	
YPL194W	DDC1	tagged	visualized	cytoplasm,nucleus	
YIL008W	URM1	tagged	visualized	cytoplasm,nucleus	
YDR312W	SSF2	tagged	visualized	nucleolus,nucleus	
YHR207C	SET5	tagged	visualized	cytoplasm,nucleus	
YHR031C	RRM3	tagged	visualized	cytoplasm,nucleus	
YFR046C		tagged	visualized	nucleus	
YHR104W	GRE3	tagged	visualized	cytoplasm,nucleus	
YLR245C	CDD1	tagged	visualized	cytoplasm,nucleus	
YML126C	ERG13	tagged	visualized	nucleus	
YLR017W	MEU1	tagged	visualized	cytoplasm,nucleus	
YMR131C	RRB1	tagged	visualized	nucleolus,nucleus	
YGL090W	LIF1	tagged	visualized	cytoplasm,nucleus	
YLR375W	STP3	tagged	visualized	nucleus	
YBR194W	SOY1	tagged	visualized	nucleus	
YKR022C		tagged	visualized	ER,cytoplasm,nucleus	
YPR175W	DPB2	tagged	visualized	cytoplasm,nucleus	
YOL115W	TRF4	tagged	visualized	nucleus	
YPL190C	NAB3	tagged	visualized	nucleus	
YOR206W	NOC2	tagged	visualized	nucleolus,nucleus	
YGL209W	MIG2	tagged	visualized	nucleus	
YPR190C	RPC82	tagged	visualized	cytoplasm,nucleus	
YMR104C	YPK2	tagged	visualized	cytoplasm,nucleus	
YLR082C	SRL2	tagged	visualized	cytoplasm,nucleus	
YBL052C	SAS3	tagged	visualized	nucleus	
YHR086W	NAM8	tagged	visualized	cytoplasm,nucleus	
YDR392W	SPT3	tagged	visualized	nucleus	
YJR043C	POL32	tagged	visualized	cytoplasm,nucleus	
YBR030W		tagged	visualized	nucleus	
YIL119C	RPI1	tagged	visualized	cytoplasm,nucleus	
YFR047C	BNA6	tagged	visualized	cytoplasm,nucleus	
YGR209C	TRX2	tagged	visualized	cytoplasm,nucleus	
YBR281C		tagged	visualized	cytoplasm,nucleus	
YHR084W	STE12	tagged	visualized	nucleus	
YBL023C	MCM2	tagged	visualized	cytoplasm,nucleus	
YLR055C	SPT8	tagged	visualized	nucleus	
YKR024C	DBP7	tagged	visualized	nucleolus,nucleus	
YGL240W	DOC1	tagged	visualized	cytoplasm,nucleus	
YPL127C	HHO1	tagged	visualized	nucleus	
YCL055W	KAR4	tagged	visualized	cytoplasm,nucleus	
YPR031W	NTO1	tagged	visualized	cytoplasm,nucleus	
YDR473C	PRP3	tagged	visualized	nucleus	
YDR391C		tagged	visualized	cytoplasm,nucleus	
YMR182C	RGM1	tagged	visualized	nucleus	
YBR085C-A		tagged	visualized	cytoplasm,nucleus	
YNR046W		tagged	visualized	cytoplasm,nucleus	
YBR058C	UBP14	tagged	visualized	cytoplasm,nucleus	
YBR231C	AOR1	tagged	visualized	nucleus	
YML124C	TUB3	tagged	visualized	cytoplasm,nucleus,spindle pole	
YJL013C	MAD3	tagged	visualized	cytoplasm,nucleus	
YDR076W	RAD55	tagged	visualized	cytoplasm,nucleus	
YGL009C	LEU1	tagged	visualized	cytoplasm,nucleus	
YNL124W	NAF1	tagged	visualized	nucleus	
