yORF	gene name	GFP tagged?	GFP visualized?	abundance	
YBR212W	NGR1	tagged	visualized	1540	
YBR214W	SDS24	tagged	visualized	2840	
YBR215W	HPC2	tagged	visualized	238	
YBR216C	YBP1	tagged	visualized	3060	
YBR218C	PYC2	tagged	visualized	17000	
YBR221C	PDB1	tagged	visualized	9970	
YBR222C	PCS60	tagged	visualized	8770	
YBR223C	TDP1	tagged	visualized	2130	
YBR225W		tagged	visualized	623	
YBR227C	MCX1	tagged	visualized	10900	
YBR230C		tagged	visualized	4750	
YBR231C	AOR1	tagged	visualized	1680	
YBR233W	PBP2	tagged	visualized	1590	
YBR233W-A	DAD3	tagged	visualized	468	
YBR234C	ARC40	tagged	visualized	technical problem	
YBR235W		tagged	visualized	low signal	
YBR236C	ABD1	tagged	visualized	not visualized	
YBR237W	PRP5	tagged	visualized	358	
YBR238C		tagged	visualized	2080	
YBR239C		tagged	visualized	85.5	
YBR241C		tagged	visualized	technical problem	
YBR242W		tagged	visualized	2730	
YBR244W	GPX2	tagged	visualized	2010	
YBR245C	ISW1	tagged	visualized	1500	
YBR247C	ENP1	tagged	visualized	21600	
YBR248C	HIS7	tagged	visualized	11800	
YBR249C	ARO4	tagged	visualized	26300	
YBR251W	MRPS5	tagged	visualized	6680	
YBR252W	DUT1	tagged	visualized	4340	
YBR253W	SRB6	tagged	visualized	2180	
YBR254C	TRS20	tagged	visualized	1200	
YBR255W		tagged	visualized	396	
YBR256C	RIB5	tagged	visualized	7300	
YBR258C	SHG1	tagged	visualized	1520	
YBR259W		tagged	visualized	low signal	
YBR260C	RGD1	tagged	visualized	1500	
YBR261C		tagged	visualized	3060	
YBR262C		tagged	visualized	2550	
YBR263W	SHM1	tagged	visualized	17700	
YBR264C	YPT10	tagged	visualized	1360	
YBR265W	TSC10	tagged	visualized	7700	
YBR267W		tagged	visualized	830	
YBR268W	MRPL37	tagged	visualized	1100	
YBR269C		tagged	visualized	not visualized	
YBR271W		tagged	visualized	217	
YBR272C	HSM3	tagged	visualized	468	
YBR273C		tagged	visualized	2190	
YBR274W	CHK1	tagged	visualized	2530	
YBR275C	RIF1	tagged	visualized	low signal	
YBR278W	DPB3	tagged	visualized	784	
YBR279W	PAF1	tagged	visualized	1040	
YBR281C		tagged	visualized	1940	
YBR282W	MRPL27	tagged	visualized	2250	
YBR283C	SSH1	tagged	visualized	704	
YBR286W	APE3	tagged	visualized	4740	
YBR287W		tagged	visualized	6440	
YBR288C	APM3	tagged	visualized	3410	
YBR289W	SNF5	tagged	visualized	217	
YBR290W	BSD2	tagged	visualized	3070	
YBR291C	CTP1	tagged	visualized	not visualized	
YBR296C	PHO89	tagged	visualized	not visualized	
YBR302C	COS2	tagged	visualized	low signal	
YCL001W	RER1	tagged	visualized	2840	
YCL005W		tagged	visualized	149	
YCL009C	ILV6	tagged	visualized	15800	
YCL010C	SGF29	tagged	visualized	1750	
YCL011C	GBP2	tagged	visualized	2540	
YCL014W	BUD3	tagged	visualized	technical problem	
YCL016C	DCC1	tagged	visualized	1660	
YCL017C	NFS1	tagged	visualized	504	
YCL024W	KCC4	tagged	visualized	538	
YCL025C	AGP1	tagged	visualized	21100	
YCL026C-A	FRM2	tagged	visualized	not visualized	
YCL026C-B		tagged	visualized	low signal	
YCL027W	FUS1	tagged	visualized	not visualized	
YCL028W	RNQ1	tagged	visualized	1140	
YCL029C	BIK1	tagged	visualized	300	
YCL030C	HIS4	tagged	visualized	521	
YCL031C	RRP7	tagged	visualized	2610	
YCL032W	STE50	tagged	visualized	1670	
YCL034W	LSB5	tagged	visualized	low signal	
YCL035C	GRX1	tagged	visualized	3030	
YCL037C	SRO9	tagged	visualized	8430	
YCL039W	GID7	tagged	visualized	1200	
YCL040W	GLK1	tagged	visualized	21100	
YCL043C	PDI1	tagged	visualized	low signal	
YCL044C		tagged	visualized	3410	
YCL045C		tagged	visualized	2840	
YCL050C	APA1	tagged	visualized	19600	
YCL052C	PBN1	tagged	visualized	4930	
YCL055W	KAR4	tagged	visualized	1690	
YCL056C		tagged	visualized	not visualized	
YCL057W	PRD1	tagged	visualized	8910	
YCL059C	KRR1	tagged	visualized	4340	
YCL061C	MRC1	tagged	visualized	721	
YCL064C	CHA1	tagged	visualized	36600	
YCR002C	CDC10	tagged	visualized	14100	
YCR003W	MRPL32	tagged	visualized	1690	
YCR004C	YCP4	tagged	visualized	14600	
