ORF Name	Plate No.	Well No.
YDL190C	GFP(+)04	C7
YMR086W	GFP(+)04	D7
YHR120W	GFP(+)04	E7
YMR205C	GFP(+)04	F7
YBR073W	GFP(+)04	G7
YGL227W	GFP(+)04	H7
YOR335C	GFP(+)04	A8
YEL043W	GFP(+)04	B8
YGR140W	GFP(+)04	C8
YJR089W	GFP(+)04	D8
YNL127W	GFP(+)04	E8
YGR162W	GFP(+)04	F8
YDR421W	GFP(+)04	G8
YGR100W	GFP(+)04	H8
YMR019W	GFP(+)04	A9
YGR204W	GFP(+)04	B9
YIL002C	GFP(+)04	C9
YIL137C	GFP(+)04	D9
YLL003W	GFP(+)04	E9
YIL075C	GFP(+)04	F9
YDR356W	GFP(+)04	G9
YDR395W	GFP(+)04	H9
YJL154C	GFP(+)04	A10
YML076C	GFP(+)04	B10
YLR129W	GFP(+)04	C10
YMR124W	GFP(+)04	D10
YML109W	GFP(+)04	E10
YHL007C	GFP(+)04	F10
YLR409C	GFP(+)04	G10
YGR089W	GFP(+)04	H10
YPR104C	GFP(+)04	A11
YPR019W	GFP(+)04	B11
YER075C	GFP(+)04	C11
YPR135W	GFP(+)04	D11
YDR069C	GFP(+)04	E11
YBL104C	GFP(+)04	F11
YDR081C	GFP(+)04	G11
YER032W	GFP(+)04	H11
YDL220C	GFP(+)04	A12
YCR057C	GFP(+)04	B12
YER024W	GFP(+)04	C12
YIL017C	GFP(+)04	D12
YML111W	GFP(+)04	E12
YBR017C	GFP(+)04	F12
YDR103W	GFP(+)04	G12
YGL093W	GFP(+)04	H12
YKR021W	GFP(+)05	A1
YGL049C	GFP(+)05	B1
YOR113W	GFP(+)05	C1
YDR213W	GFP(+)05	D1
YER151C	GFP(+)05	E1
YGL141W	GFP(+)05	F1
YKR089C	GFP(+)05	G1
YGL036W	GFP(+)05	H1
YLL026W	GFP(+)05	A2
YBR289W	GFP(+)05	B2
YFR040W	GFP(+)05	C2
YDR409W	GFP(+)05	D2
YNL082W	GFP(+)05	E2
YNL313C	GFP(+)05	F2
YPR160W	GFP(+)05	G2
YDR006C	GFP(+)05	H2
YPL150W	GFP(+)05	A3
YBR225W	GFP(+)05	B3
YBR055C	GFP(+)05	C3
YLR336C	GFP(+)05	D3
YML093W	GFP(+)05	E3
YGL163C	GFP(+)05	F3
YMR066W	GFP(+)05	G3
YER047C	GFP(+)05	H3
YGL180W	GFP(+)05	A4
YOR371C	GFP(+)05	B4
YDR074W	GFP(+)05	C4
YPL126W	GFP(+)05	D4
YBL014C	GFP(+)05	E4
YDR096W	GFP(+)05	F4
YLR382C	GFP(+)05	G4
YPL249C	GFP(+)05	H4
YNR047W	GFP(+)05	A5
YOR129C	GFP(+)05	B5
YNL233W	GFP(+)05	C5
YLR357W	GFP(+)05	D5
YER070W	GFP(+)05	E5
YGL014W	GFP(+)05	F5
YJL070C	GFP(+)05	G5
YLR045C	GFP(+)05	H5
YLR451W	GFP(+)05	A6
YDL117W	GFP(+)05	B6
YDR303C	GFP(+)05	C6
YOR058C	GFP(+)05	D6
YGR238C	GFP(+)05	E6
YJL078C	GFP(+)05	F6
YKL073W	GFP(+)05	G6
YOR141C	GFP(+)05	H6
YJL056C	GFP(+)05	A7
YLR386W	GFP(+)05	B7
YML099C	GFP(+)05	C7
YNL112W	GFP(+)05	D7
YLL013C	GFP(+)05	E7
YNL325C	GFP(+)05	F7
YBR281C	GFP(+)05	G7
YDR186C	GFP(+)05	H7
YML034W	GFP(+)05	A8
YNR011C	GFP(+)05	B8
YNL221C	GFP(+)05	C8
YOR038C	GFP(+)05	D8
YCR030C	GFP(+)05	E8
YDR089W	GFP(+)05	F8
YIL066C	GFP(+)05	G8
YBL023C	GFP(+)05	H8
YPL141C	GFP(+)05	A9
YGR150C	GFP(+)05	B9
YNL256W	GFP(+)05	C9
YDR422C	GFP(+)05	D9
YER069W	GFP(+)05	E9
YKR064W	GFP(+)05	F9
YLR001C	GFP(+)05	G9
YMR165C	GFP(+)05	H9
YNL068C	GFP(+)05	A10
YLR347C	GFP(+)05	B10
YOR217W	GFP(+)05	C10
YPL008W	GFP(+)05	D10
YPR105C	GFP(+)05	E10
YGR071C	GFP(+)05	F10
YAR044W	GFP(+)05	G10
YDR416W	GFP(+)05	H10
YLR115W	GFP(+)05	A11
YNL201C	GFP(+)05	B11
YHR047C	GFP(+)05	C11
YAL041W	GFP(+)05	D11
YDL040C	GFP(+)05	E11
YDR369C	GFP(+)05	F11
YLR127C	GFP(+)05	G11
YER167W	GFP(+)05	H11
YOR373W	GFP(+)05	A12
YBR237W	GFP(+)05	B12
YPL105C	GFP(+)05	C12
YAL056W	GFP(+)05	D12
YNL126W	GFP(+)05	E12
YBR202W	GFP(+)05	F12
YPL084W	GFP(+)05	G12
YIL143C	GFP(+)05	H12
YMR031C	GFP(+)06	A1
YDR385W	GFP(+)06	B1
YJL047C	GFP(+)06	C1
YNL298W	GFP(+)06	D1
YOR133W	GFP(+)06	E1
YDR505C	GFP(+)06	F1
YBL008W	GFP(+)06	G1
YHR131C	GFP(+)06	H1
YJL204C	GFP(+)06	A2
YKL022C	GFP(+)06	B2
YNL041C	GFP(+)06	C2
YKR079C	GFP(+)06	D2
YML029W	GFP(+)06	E2
YAL021C	GFP(+)06	F2
YLL034C	GFP(+)06	G2
YOR018W	GFP(+)06	H2
YDR207C	GFP(+)06	A3
YIL038C	GFP(+)06	B3
YDL126C	GFP(+)06	C3
YMR102C	GFP(+)06	D3
YDL056W	GFP(+)06	E3
YGL073W	GFP(+)06	F3
YFL024C	GFP(+)06	G3
YPR029C	GFP(+)06	H3
YBL052C	GFP(+)06	A4
YDR251W	GFP(+)06	B4
YJL157C	GFP(+)06	C4
YNL085W	GFP(+)06	D4
YBR133C	GFP(+)06	E4
YIL107C	GFP(+)06	F4
YJL087C	GFP(+)06	G4
YLR263W	GFP(+)06	H4
YNL216W	GFP(+)06	A5
YJL176C	GFP(+)06	B5
YLL032C	GFP(+)06	C5
YPL032C	GFP(+)06	D5
YHR205W	GFP(+)06	E5
YHR172W	GFP(+)06	F5
YOR195W	GFP(+)06	G5
YPL153C	GFP(+)06	H5
YJL102W	GFP(+)06	A6
YGL229C	GFP(+)06	B6
YJR059W	GFP(+)06	C6
YOR322C	GFP(+)06	D6
YGR198W	GFP(+)06	E6
YLR222C	GFP(+)06	F6
YLR337C	GFP(+)06	G6
YGR130C	GFP(+)06	H6
YMR160W	GFP(+)06	A7
YDL132W	GFP(+)06	B7
YLR228C	GFP(+)06	C7
YLR095C	GFP(+)06	D7
YMR309C	GFP(+)06	E7
YDR258C	GFP(+)06	F7
YKR099W	GFP(+)06	G7
YLR176C	GFP(+)06	H7
YBR049C	GFP(+)06	A8
YDR485C	GFP(+)06	B8
YIL095W	GFP(+)06	C8
YML035C	GFP(+)06	D8
YOR162C	GFP(+)06	E8
YPL207W	GFP(+)06	F8
YDL122W	GFP(+)06	G8
YOR168W	GFP(+)06	H8
YMR049C	GFP(+)06	A9
YGL216W	GFP(+)06	B9
YGL083W	GFP(+)06	C9
YBR058C	GFP(+)06	D9
YLR182W	GFP(+)06	E9
YGL139W	GFP(+)06	F9
YGL234W	GFP(+)06	G9
YPL190C	GFP(+)06	H9
YOR233W	GFP(+)06	A10
YCL030C	GFP(+)06	B10
YPL180W	GFP(+)06	C10
YBR198C	GFP(+)06	D10
YPL045W	GFP(+)06	E10
YCR077C	GFP(+)06	F10
YER169W	GFP(+)06	G10
YFL023W	GFP(+)06	H10
YHR204W	GFP(+)06	A11
YOL076W	GFP(+)06	B11
YNL186W	GFP(+)06	C11
YOR144C	GFP(+)06	D11
YOR353C	GFP(+)06	E11
YBR114W	GFP(+)06	F11
YBR172C	GFP(+)06	G11
YDR034C	GFP(+)06	H11
YNL183C	GFP(+)06	A12
YJL200C	GFP(+)06	B12
YOR035C	GFP(+)06	C12
YDL060W	GFP(+)06	D12
YGR200C	GFP(+)06	E12
YLR319C	GFP(+)06	F12
YDR239C	GFP(+)06	G12
YFR013W	GFP(+)06	H12
YNR033W	GFP(+)07	A1
YOR172W	GFP(+)07	B1
YAL043C	GFP(+)07	C1
YGR237C	GFP(+)07	D1
YHR182W	GFP(+)07	E1
YMR016C	GFP(+)07	F1
YGR250C	GFP(+)07	G1
YBR001C	GFP(+)07	H1
YLR397C	GFP(+)07	A2
YDR208W	GFP(+)07	B2
YGL009C	GFP(+)07	C2
YLR144C	GFP(+)07	D2
YLR277C	GFP(+)07	E2
YER171W	GFP(+)07	F2
YDR324C	GFP(+)07	G2
YOR165W	GFP(+)07	H2
YML006C	GFP(+)07	A3
YBR142W	GFP(+)07	B3
YDR520C	GFP(+)07	C3
